,Date,Real_date,PT,ES,IT,IE,GR,DE,PT._spread,ES_spread,IT_spread,IE_spread,GR_spread,PT_var,Open_BCP,High_BCP,Low_BCP,Close_BCP,Volume_BCP,AdjClose_BCP,Date_Real,BCP_var,BCP_traded_volume,Open_BPI,High_BPI,Low_BPI,Close_BPI,Volume_BPI,AdjClose_BPI,BPI_var,BPI_traded_volume,Open_BES,High_BES,Low_BES,Close_BES,Volume_BES,AdjClose_BES,BES_var,BES_traded_volume
284,03/02/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.07652,2.08015,2.06565,2.06927,10906300,1.83878,03/02/00,0.944582821,22568079.4,3.88494,3.93374,3.86541,3.92398,1687300,3.45996,0.632943733,6620931.454,14.9936,15.2007,14.9881,15.1844,442700,11.13457,0.908035066,6722133.88
421,04/02/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06203,2.06927,2.0584,2.0584,9950900,1.82912,04/02/00,0.97364853,20482932.56,3.90446,3.97279,3.90446,3.92398,2101000,3.45996,0.664736009,8244281.98,15.1026,15.4515,15.1026,15.3643,720800,11.26649,0.989348945,11074587.44
836,07/02/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.06203,2.0729,2.04753,2.04753,5369200,1.81946,07/02/00,0.97416816,10993598.08,3.91422,3.93374,3.88494,3.92398,1658600,3.45996,0.684967456,6508313.228,15.3752,15.3752,15.0535,15.2989,304100,11.21853,0.989303411,4652395.49
974,08/02/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04753,2.05478,2.04028,2.04028,4388100,1.81302,08/02/00,0.974572812,8952952.668,3.90446,3.92398,3.88494,3.90446,2408800,3.44275,0.693558928,9405063.248,15.2934,15.3479,15.2226,15.2662,558900,11.19455,0.989280498,8532279.18
1110,09/02/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04753,2.04753,2.03304,2.03666,8487300,1.8098,09/02/00,0.96292408,17285744.42,3.8947,4.05088,3.8947,3.9435,2060400,3.47717,0.743469546,8125187.4,15.2662,15.457,15.228,15.3752,448900,11.27448,0.989356494,6901927.28
1247,10/02/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03666,2.04753,2.03666,2.04028,6055100,1.81302,10/02/00,0.938704482,12354099.43,3.91422,3.91422,3.87517,3.90446,941200,3.44275,0.578825067,3674877.752,15.2171,15.2934,15.1844,15.2934,246100,11.2145,0.902645682,3763705.74
1384,11/02/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04028,2.06203,2.04028,2.04028,4877900,1.81302,11/02/00,0.975014065,9952281.812,3.8947,3.91422,3.85565,3.88494,1533900,3.42554,0.707199449,5959109.466,15.3207,15.4025,13.576,15.3698,348600,11.27052,0.911389182,5357912.28
1797,14/02/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03666,2.04028,2.03304,2.03304,9001800,1.80658,14/02/00,0.975423175,18301019.47,3.86541,3.8947,3.83613,3.84589,1835100,3.39111,0.698328866,7057592.739,15.2389,15.3752,15.2389,15.3752,152300,11.27448,0.989356494,2341642.96
1933,15/02/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03304,2.03666,2.02579,2.03666,4730000,1.8098,15/02/00,0.976516742,9633401.8,3.86541,3.91422,3.83613,3.88494,1703100,3.42554,0.704864051,6616441.314,15.2716,15.4188,15.2116,15.3207,345900,11.23452,0.989318636,5299430.13
2069,16/02/00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03666,2.03666,2.02216,2.02579,5057500,1.80014,16/02/00,0.962336263,10245432.93,3.87517,3.88494,3.82637,3.84589,1864900,3.39111,0.737549062,7172200.261,15.2116,15.3207,15.1571,15.2498,277200,11.18253,0.989268976,4227244.56
